expression,reading,meaning,tags,JLPT Level
荒らす,あらす,to damage; to invade,JLPT_1 JLPT,1
争い,あらそい,"dispute, quarrel, conflict",JLPT_1 JLPT,1
改まる,あらたまる,to be renewed; to be formal,JLPT_1 JLPT,1
荒っぽい,あらっぽい,"rough, rude",JLPT_1 JLPT,1
アラブ,アラブ,Arab,JLPT_1 JLPT,1
霰,あられ,"hail (e.g., falling ice balls)",JLPT_1 JLPT,1
有り様,ありさま,"state, condition",JLPT_1 JLPT,1
ありのまま,ありのまま,"the truth, as it is, frankly",JLPT_1 JLPT,1
ありふれる,ありふれる,"common, ordinary, routine",JLPT_1 JLPT,1
アルカリ,アルカリ,alkali,JLPT_1 JLPT,1
アルミ,アルミ,"aluminum (Al, aluminum)",JLPT_1 JLPT,1
アワー,アワー,hour,JLPT_1 JLPT,1
合わす,あわす,"to join together, to face, to unite",JLPT_1 JLPT,1
～合せ,～あわせ,in all,JLPT_1 JLPT,1
アンコール,アンコール,encore,JLPT_1 JLPT,1
暗殺,あんさつ,assassination,JLPT_1 JLPT,1
暗算,あんざん,mental arithmetic,JLPT_1 JLPT,1
暗示,あんじ,"hint, suggestion",JLPT_1 JLPT,1
案じる,あんじる,"to be anxious, to ponder",JLPT_1 JLPT,1
安静,あんせい,rest,JLPT_1 JLPT,1
案の定,あんのじょう,"sure enough, as usual",JLPT_1 JLPT,1
いい加減,いいかげん,"random, irresponsible",JLPT_1 JLPT,1
言い訳,いいわけ,"excuse, explanation",JLPT_1 JLPT,1
イェス,イェス,yes; Jesus,JLPT_1 JLPT,1
家出,いえで,running away from home,JLPT_1 JLPT,1
生かす,いかす,to keep something alive; to make use of,JLPT_1 JLPT,1
いかに,いかに,"how, in what way",JLPT_1 JLPT,1
いかにも,いかにも,truly (same as 実に (じつに)),JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,1
異議,いぎ,"objection, dissent, protest",JLPT_1 JLPT,1
生き甲斐,いきがい,"something one lives for, very important",JLPT_1 JLPT,1
行き違い,いきちがい,"misunderstanding, disagreement",JLPT_1 JLPT,1
意気込む,いきごむ,to be enthusiastic about,JLPT_1 JLPT,1
育成,いくせい,"rearing, training, cultivation",JLPT_1 JLPT,1
幾多,いくた,"many, numerous",JLPT_1 JLPT,1
"(花を〜) 生ける, 活ける",(はなを～) いける,to arrange (flowers),JLPT JLPT_1 MediaMissing,1
異見,いけん,"different opinion, objection",JLPT_1 JLPT,1
意向,いこう,"intention, idea, inclination",JLPT_1 JLPT,1
移行,いこう,switching over to,JLPT_1 JLPT,1
いざ,いざ,"now, come (now), crucial moment",JLPT_1 JLPT,1
移住,いじゅう,"migration, immigration",JLPT_1 JLPT,1
衣装,いしょう,"clothing, costume, outfit",JLPT_1 JLPT,1
いじる,いじる,"to touch, to tamper with",JLPT_1 JLPT,1
異性,いせい,the opposite sex,JLPT_1 JLPT,1
遺跡,いせき,historic ruins,JLPT_1 JLPT,1
依存,いぞん,"dependence, dependent, reliance",JLPT_1 JLPT,1
委託,いたく,"consign (goods (for sale) to a firm), entrust",JLPT_1 JLPT,1
いたって,いたって,"very much, exceedingly, extremely",JLPT_1 JLPT,1
出世,しゅっせ,"promotion, successful career, eminence",JLPT_1 JLPT,1
出題,しゅつだい,proposing a question,JLPT_1 JLPT,1
出動,しゅつどう,"mobilization, action",JLPT_1 JLPT,1
出費,しゅっぴ,"expenses, disbursements",JLPT_1 JLPT,1
出品,しゅっぴん,"exhibit, display",JLPT_1 JLPT,1
主導,しゅどう,main leadership,JLPT_1 JLPT,1
主任,しゅにん,"person in charge, responsible official",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
首脳,しゅのう,"head, leader",JLPT_1 JLPT,1
守備,しゅび,defense,JLPT_1 JLPT,1
手法,しゅほう,technique,JLPT_1 JLPT,1
樹木,じゅもく,"trees and shrubs, arbor",JLPT_1 JLPT,1
樹立,じゅりつ,"establish, create",JLPT_1 JLPT,1
準急,じゅんきゅう,"local express (train, slower than an express)",JLPT_1 JLPT,1
準じる,じゅんじる,"to follow, to conform, to apply to",JLPT_1 JLPT,1
～署,～しょ,department,JLPT_1 JLPT,1
～症,～しょう,disease,JLPT_1 JLPT,1
～証,～しょう,"proof, certificate",JLPT_1 JLPT,1
～嬢,～じょう,young woman,JLPT_1 JLPT,1
上位,じょうい,"superior, higher order",JLPT_1 JLPT,1
上演,じょうえん,art performance,JLPT_1 JLPT,1
城下,じょうか,land near the castle,JLPT_1 JLPT,1
消去,しょうきょ,"elimination, erasing",JLPT_1 JLPT,1
上空,じょうくう,"sky, high-altitude sky, upper air",JLPT_1 JLPT,1
衝撃,しょうげき,"shock, crash, impact, ballistic",JLPT_1 JLPT,1
証言,しょうげん,"evidence, testimony",JLPT_1 JLPT,1
証拠,しょうこ,"evidence, proof",JLPT_1 JLPT,1
照合,しょうごう,"check, verification",JLPT_1 JLPT,1
詳細,しょうさい,"detail, particulars",JLPT_1 JLPT,1
上昇,じょうしょう,"rising, ascending, climbing",JLPT_1 JLPT,1
昇進,しょうしん,promotion,JLPT_1 JLPT,1
称する,しょうする,"to take the name of, to call oneself",JLPT_1 JLPT,1
情勢,じょうせい,"state of things, condition, situation",JLPT_1 JLPT,1
消息,しょうそく,"news, letter, circumstances",JLPT_1 JLPT,1
承諾,しょうだく,"consent, agreement",JLPT_1 JLPT,1
情緒,じょうちょ,"emotion, feeling",JLPT_1 JLPT,1
情緒,じょうしょ,"emotion, feeling",JLPT_1 JLPT,1
象徴,しょうちょう,symbol,JLPT_1 JLPT,1
小児科,しょうにか,pediatrics,JLPT_1 JLPT,1
使用人,しようにん,"employee, servant",JLPT_1 JLPT,1
情熱,じょうねつ,"passion, enthusiasm, zeal",JLPT_1 JLPT,1
譲歩,じょうほ,"concession, conciliation, compromise",JLPT_1 JLPT,1
条約,じょうやく,"treaty, pact",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
勝利,しょうり,"victory, triumph, win",JLPT_1 JLPT,1
上陸,じょうりく,"landing, disembarkation",JLPT_1 JLPT,1
蒸溜,じょうりゅう,distillation,JLPT_1 JLPT,1
奨励,しょうれい,"encouragement, promotion",JLPT_1 JLPT,1
ショー,ショー,show,JLPT_1 JLPT,1
除外,じょがい,"exception, exclusion",JLPT_1 JLPT,1
職員,しょくいん,"staff member, personnel",JLPT_1 JLPT,1
植民地,しょくみんち,colony,JLPT_1 JLPT,1
職務,しょくむ,professional duties,JLPT_1 JLPT,1
諸君,しょくん,"Gentlemen!, Ladies!",JLPT_1 JLPT,1
助言,じょげん,"advice, suggestion",JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11,1
徐行,じょこう,going slowly,JLPT_1 JLPT,1
所在,しょざい,whereabouts,JLPT_1 JLPT,1
所持,しょじ,"possession, owning",JLPT_1 JLPT,1
所属,しょぞく,"attached to, belong to",JLPT_1 JLPT,1
処置,しょち,treatment,JLPT_1 JLPT,1
しょっちゅう,しょっちゅう,"always, constantly",JLPT_1 JLPT,1
所定,しょてい,"fixed, prescribed",JLPT_1 JLPT,1
所得,しょとく,income,JLPT_1 JLPT,1
処罰,しょばつ,punishment,JLPT_1 JLPT,1
初版,しょはん,first edition,JLPT_1 JLPT,1
書評,しょひょう,book review,JLPT_1 JLPT,1
処分,しょぶん,"disposal, dealing, punishment",JLPT_1 JLPT,1
庶民,しょみん,"masses, common people",JLPT_1 JLPT,1
庶務,しょむ,general affairs,JLPT_1 JLPT,1
所有,しょゆう,"one's possessions, ownership",JLPT_1 JLPT,1
調べ,しらべ,"investigation, inspection",JLPT_1 JLPT,1
自立,じりつ,"independence, self-reliance",JLPT_1 JLPT,1
記す,しるす,"to note, to write down",JLPT_1 JLPT,1
指令,しれい,"orders, instructions, directive",JLPT_1 JLPT,1
～心,～しん,mind of ~,JLPT_1 JLPT,1
陣,じん,"battle formation, camp, encampment",JLPT_1 JLPT,1
進化,しんか,"evolution, progress",JLPT_1 JLPT,1
人格,じんかく,"personality, character",JLPT_1 JLPT,1
審議,しんぎ,deliberation,JLPT_1 JLPT,1
新婚,しんこん,newly-wed,JLPT_1 JLPT,1
審査,しんさ,"judging, inspection, examination",JLPT_1 JLPT,1
人材,じんざい,man of talent,JLPT_1 JLPT,1
紳士,しんし,gentleman,JLPT_1 JLPT,1
真実,しんじつ,"truth, reality",JLPT_1 JLPT,1
信者,しんじゃ,"believer, devotee",JLPT_1 JLPT,1
真珠,しんじゅ,pearl,JLPT_1 JLPT,1
進出,しんしゅつ,advancement,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
心情,しんじょう,mentality,JLPT_1 JLPT,1
新人,しんじん,"new face, newcomer",JLPT_1 JLPT,1
神聖,しんせい,"holiness, sacredness, dignity",JLPT_1 JLPT,1
親善,しんぜん,friendship,JLPT_1 JLPT,1
真相,しんそう,"truth, real situation",JLPT_1 JLPT,1
迅速,じんそく,"quick, fast, prompt",JLPT_1 JLPT,1
人体,じんたい,human body,JLPT_1 JLPT,1
新築,しんちく,"new building, new construction",JLPT_1 JLPT,1
心中,しんじゅう,double suicide,JLPT_1 JLPT,1
進呈,しんてい,presentation,JLPT_1 JLPT,1
進展,しんてん,"progress, development",JLPT_1 JLPT,1
神殿,しんでん,"temple, sacred place",JLPT_1 JLPT,1
進度,しんど,progress,JLPT_1 JLPT,1
振動,しんどう,"oscillation, vibration",JLPT_1 JLPT,1
新入生,しんにゅうせい,"new student, first-year student, freshman",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,1
信任,しんにん,"trust, confidence, credence",JLPT_1 JLPT,1
神秘,しんぴ,mystery,JLPT_1 JLPT,1
辛抱,しんぼう,"patience, endurance",JLPT_1 JLPT,1
人民,じんみん,"people, public",JLPT_1 JLPT,1
侵略,しんりゃく,"aggression, invasion, raid",JLPT_1 JLPT,1
診療,しんりょう,medical examination and treatment,JLPT_1 JLPT,1
粋,すい,essence,JLPT_1 JLPT,1
水源,すいげん,source of river,JLPT_1 JLPT,1
推進,すいしん,"propulsion, driving force",JLPT_1 JLPT,1
吹奏,すいそう,playing wind instruments,JLPT_1 JLPT,1
推測,すいそく,"guess, conjecture",JLPT_1 JLPT,1
水田,すいでん,(water-filled) paddy field,JLPT_1 JLPT,1
推理,すいり,"reasoning, inference, mystery or detective genre",JLPT_1 JLPT,1
数詞,すうし,numeral,JLPT_1 JLPT,1
崇拝,すうはい,"worship, adoration",JLPT_1 JLPT,1
据え付ける,すえつける,"to install, to equip, to mount",JLPT_1 JLPT,1
据える,すえる,"to set, to lay, to place",JLPT_1 JLPT,1
すがすがしい,すがすがしい,"fresh, refreshing",JLPT_1 JLPT,1
救い,すくい,"help, aid, relief",JLPT_1 JLPT,1
すくう (みずを～),すくう (みずを～),to scoop,JLPT_1 JLPT,1
健やか,すこやか,"vigorous, healthy, sound",JLPT_1 JLPT,1
濯ぐ,すすぐ,"to rinse, to wash out",JLPT_1 JLPT,1
進み,すすみ,progress,JLPT_1 JLPT,1
裾,すそ,"(trouser) cuff, (skirt) hem, cut edge of a hairdo",JLPT_1 JLPT,1
スタジオ,スタジオ,studio,JLPT_1 JLPT,1
スチーム,スチーム,steam,JLPT_1 JLPT,1
ストライキ,ストライキ,strike,JLPT_1 JLPT,1
スト,スト,(abbr.) strike,JLPT_1 JLPT,1
ストロー,ストロー,straw,JLPT_1 JLPT,1
ストロボ,ストロボ,"stroboscope (literally: strobo, strobe lamp, stroboscopic lamp)",JLPT_1 JLPT,1
すばしこい,すばしこい,"nimble, smart, quick",JLPT_1 JLPT,1
素早い,すばやい,"fast, quick",JLPT_1 JLPT,1
ずばり,ずばり,"decisively, unreservedly, frankly",JLPT_1 JLPT,1
スプリング,スプリング,spring,JLPT_1 JLPT,1
スペース,スペース,space,JLPT_1 JLPT,1
ずぶぬれ,ずぶぬれ,"soaked, dripping wet",JLPT_1 JLPT,1
スポーツカー,スポーツカー,sports car,JLPT_1 JLPT,1
澄ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT,1
清ます,すます,"to clear, to make clear, to listen for",JLPT_1 JLPT,1
済ます,すます,to finish; to settle; to do without,JLPT_1 JLPT,1
すみやか,すみやか,speedy,JLPT_1 JLPT,1
スラックス,スラックス,slacks,JLPT_1 JLPT,1
ずらっと,ずらっと,"in a line, in a row",JLPT_1 JLPT,1
ずるずる,ずるずる,"dragging on, sound of sniffling",JLPT_1 JLPT,1
ずれ,ずれ,"difference, gap",JLPT_1 JLPT,1
すれちがい,すれちがい,chance encounter,JLPT_1 JLPT,1
擦れる,すれる,"to rub, to chafe",JLPT_1 JLPT,1
すんなり,すんなり,"pass with no objection, slim, slender",JLPT_1 JLPT,1
生育,せいいく,"growth, development, breeding",JLPT_1 JLPT,1
成育,せいいく,"growth, raising",JLPT_1 JLPT,1
成果,せいか,"results, fruits",JLPT_1 JLPT,1
正解,せいかい,"correct, right answer, solution",JLPT_1 JLPT,1
正義,せいぎ,"justice, right, righteousness",JLPT_1 JLPT,1
生計,せいけい,"livelihood, living",JLPT_1 JLPT,1
政権,せいけん,"(political) administration, political power",JLPT_1 JLPT,1
星座,せいざ,constellation,JLPT_1 JLPT,1
制裁,せいさい,"restraint, sanctions, punishment",JLPT_1 JLPT,1
政策,せいさく,"political measures, policy",JLPT_1 JLPT,1
生死,せいし,life and death,JLPT_1 JLPT,1
静止,せいし,"stillness, repose, standing still",JLPT_1 JLPT,1
誠実,せいじつ,"sincere, honest, faithful",JLPT_1 JLPT,1
成熟,せいじゅく,"maturity, ripeness",JLPT_1 JLPT,1
青春,せいしゅん,"youth, springtime of life, adolescent",JLPT_1 JLPT,1
清純,せいじゅん,"purity, innocence",JLPT_1 JLPT,1
聖書,せいしょ,Bible,JLPT_1 JLPT,1
正常,せいじょう,"normalcy, normality, normal",JLPT_1 JLPT,1
制する,せいする,"to control, to command",JLPT_1 JLPT,1
整然,せいぜん,"orderly, regular, well-organized",JLPT_1 JLPT,1
盛装,せいそう,"be dressed up, wear rich clothes",JLPT_1 JLPT,1
盛大,せいだい,"grand, prosperous, magnificent",JLPT_1 JLPT,1
清濁,せいだく,"good and evil, purity and impurity",JLPT_1 JLPT,1
制定,せいてい,"enactment, establishment, creation",JLPT_1 JLPT,1
静的,せいてき,static,JLPT_1 JLPT,1
製鉄,せいてつ,iron manufacture,JLPT_1 JLPT,1
晴天,せいてん,fine weather,JLPT_1 JLPT,1
正当,せいとう,"just, due, proper",JLPT_1 JLPT,1
制服,せいふく,uniform,JLPT_1 JLPT,1
征服,せいふく,"conquest, subjugation, overcoming",JLPT_1 JLPT,1
製法,せいほう,"manufacturing method, recipe, formula",JLPT_1 JLPT,1
精密,せいみつ,"precise, exact, detailed, minute",JLPT_1 JLPT,1
税務署,ぜいむしょ,tax office,JLPT_1 JLPT,1
制約,せいやく,"limitation, constraints",JLPT_1 JLPT,1
勢力,せいりょく,"influence, power, might, strength",JLPT_1 JLPT,1
整列,せいれつ,"stand in a row, form a line",JLPT_1 JLPT,1
セール,セール,sale,JLPT_1 JLPT,1
急かす,せかす,"to hurry, to urge on",JLPT_1 JLPT,1
伜,せがれ,"son, my son",JLPT_1 JLPT,1
責務,せきむ,"duty, obligation",JLPT_1 JLPT,1
セクション,セクション,section,JLPT_1 JLPT,1
世辞,せじ,"flattery, compliment",JLPT_1 JLPT,1
世帯,せたい,household,JLPT_1 JLPT,1
是正,ぜせい,"correction, revision",JLPT_1 JLPT,1
世代,せだい,generation,JLPT_1 JLPT,1
切開,せっかい,"opening up, cutting through",JLPT_1 JLPT,1
セックス,セックス,sex,JLPT_1 JLPT,1
切実,せつじつ,"compelling, serious, severe, acute",JLPT_1 JLPT,1
接触,せっしょく,"touch, contact",JLPT_1 JLPT,1
接続詞,せつぞくし,conjunction,JLPT_1 JLPT,1
設置,せっち,"establishment, institution",JLPT_1 JLPT,1
折衷,せっちゅう,"compromise, cross, blending, eclecticism",JLPT_1 JLPT,1
設定,せってい,"establishment, creation",JLPT_1 JLPT,1
説得,せっとく,persuasion,JLPT_1 JLPT,1
切ない,せつない,"painful, trying, sad",JLPT_1 JLPT,1
絶版,ぜっぱん,out of print,JLPT_1 JLPT,1
設立,せつりつ,"establishment, foundation, institution",JLPT_1 JLPT,1
攻め,せめ,"attack, offense",JLPT_1 JLPT,1
ゼリー,ゼリー,jelly,JLPT_1 JLPT,1
セレモニー,セレモニー,ceremony,JLPT_1 JLPT,1
世論,せろん,public opinion,JLPT_1 JLPT,1
先,せん,"priority, precedence, previous",JLPT_1 JLPT,1
繊維,せんい,"fiber, fiber, textile",JLPT_1 JLPT,1
全快,ぜんかい,complete recovery of health,JLPT_1 JLPT,1
宣教,せんきょう,religious mission,JLPT_1 JLPT,1
宣言,せんげん,"declaration, proclamation, announcement",JLPT_1 JLPT,1
戦災,せんさい,war damage,JLPT_1 JLPT,1
専修,せんしゅう,specialization,JLPT_1 JLPT,1
戦術,せんじゅつ,tactics,JLPT_1 JLPT,1
センス,センス,"sense (for music, style, tact, etc.)",JLPT_1 JLPT,1
潜水,せんすい,diving,JLPT_1 JLPT,1
全盛,ぜんせい,height of prosperity,JLPT_1 JLPT,1
先代,せんだい,"family predecessor, previous age, previous generation",JLPT_1 JLPT,1
先だって,せんだって,"recently, the other day",JLPT_1 JLPT,1
先着,せんちゃく,first arrival,JLPT_1 JLPT,1
前提,ぜんてい,"preamble, premise, prerequisite",JLPT_1 JLPT,1
先天的,せんてんてき,"inherent, congenital, hereditary",JLPT_1 JLPT,1
前途,ぜんと,"future prospects, outlook, the journey ahead",JLPT_1 JLPT,1
戦闘,せんとう,"battle, fight, combat",JLPT_1 JLPT,1
潜入,せんにゅう,"infiltration, sneaking in",JLPT_1 JLPT,1
船舶,せんぱく,ship,JLPT_1 JLPT,1
全滅,ぜんめつ,annihilation,JLPT_1 JLPT,1
専用,せんよう,"exclusive use, personal use",JLPT_1 JLPT,1
占領,せんりょう,"occupation, possession, have a room to oneself",JLPT_1 JLPT,1
善良,ぜんりょう,"goodness, excellence, virtue",JLPT_1 JLPT,1
戦力,せんりょく,war potential,JLPT_1 JLPT,1
前例,ぜんれい,precedent,JLPT_1 JLPT,1
相応,そうおう,"suitability, fitness",JLPT_1 JLPT,1
総会,そうかい,general meeting,JLPT_1 JLPT,1
創刊,そうかん,"launching (e.g., newspaper, first issue)",JLPT_1 JLPT,1
雑木,ぞうき,"various kinds of small trees, assorted trees",JLPT_1 JLPT,1
早急,そうきゅう,urgent,JLPT_1 JLPT,1
早急,さっきゅう,urgent,JLPT_1 JLPT,1
増強,ぞうきょう,"reinforce, increase",JLPT_1 JLPT,1
送金,そうきん,"remittance, sending money",JLPT_1 JLPT,1
走行,そうこう,"running a wheeled vehicle (e.g., car, traveling)",JLPT_1 JLPT,1
総合,そうごう,"synthesis, generalization",JLPT_1 JLPT,1
捜索,そうさく,"search (esp. for someone or something missing, investigation)",JLPT_1 JLPT,1
蔵相,ぞうしょう,Minister of Finance,JLPT_1 JLPT,1
装飾,そうしょく,ornament,JLPT_1 JLPT,1
増進,ぞうしん,"promoting, increase, advance",JLPT_1 JLPT,1
相対,そうたい,relative,JLPT_1 JLPT,1
壮大,そうだい,"magnificent, grand, majestic",JLPT_1 JLPT,1
騒動,そうどう,"strife, riot, rebellion",JLPT_1 JLPT,1
遭難,そうなん,"disaster, shipwreck, accident",JLPT_1 JLPT,1
相場,そうば,"market price, speculation, estimation",JLPT_1 JLPT,1
装備,そうび,equipment,JLPT_1 JLPT,1
創立,そうりつ,"establishment, founding",JLPT_1 JLPT,1
添える,そえる,"to add to, to attach, to accompany",JLPT_1 JLPT,1
ソース,ソース,source,JLPT_1 JLPT,1
即座に,そくざに,"immediately, right away",JLPT_1 JLPT,1
促進,そくしん,"promotion, acceleration, encouragement",JLPT_1 JLPT,1
即する,そくする,"to conform to, to agree with, to be adapted to,",JLPT_1 JLPT,1
束縛,そくばく,"restraint, restriction, confinement",JLPT_1 JLPT,1
側面,そくめん,"side, sidelight, lateral",JLPT_1 JLPT,1
損う,そこなう,"to harm, to hurt",JLPT_1 JLPT,1
そこら,そこら,"everywhere, somewhere",JLPT_1 JLPT,1
素材,そざい,"raw materials, subject matter",JLPT_1 JLPT,1
阻止,そし,"obstruction, check, hindrance",JLPT_1 JLPT,1
訴訟,そしょう,"litigation, lawsuit",JLPT_1 JLPT,1
育ち,そだち,"breeding, growth",JLPT_1 JLPT,1
措置,そち,"measure, step",JLPT_1 JLPT,1
ソックス,ソックス,socks,JLPT_1 JLPT,1
素っ気無い,そっけない,"cold, short, curt, blunt",JLPT_1 JLPT,1
外方,そっぽ,look (or turn) the other way,JLPT_1 JLPT,1
備え付ける,そなえつける,"to provide, to equip, to install",JLPT_1 JLPT,1
備わる,そなわる,to be furnished with,JLPT_1 JLPT,1
具わる,そなわる,to be furnished with,JLPT_1 JLPT,1
聳える,そびえる,"to rise, to tower, to soar",JLPT_1 JLPT,1
素朴,そぼく,"simplicity, artlessness, naivety",JLPT_1 JLPT,1
背く,そむく,"to run counter to, to go against",JLPT_1 JLPT,1
染まる,そまる,to be dyed,JLPT_1 JLPT,1
染める,そめる,"to dye, to color",JLPT_1 JLPT,1
そらす,そらす,"to bend, to warp",JLPT_1 JLPT,1
そり (～にのる),そり (～にのる),"sleigh, sled",JLPT_1 JLPT,1
反る,そる,"to warp, to be warped, to curve",JLPT_1 JLPT,1
それゆえ,それゆえ,"therefore, for that reason, so",JLPT_1 JLPT,1
ソロ,ソロ,solo,JLPT_1 JLPT,1
揃い,そろい,"set, suit, uniform",JLPT_1 JLPT,1
ぞんざい,ぞんざい,"rude, careless, slovenly",JLPT_1 JLPT,1
損失,そんしつ,loss,JLPT_1 JLPT,1
存続,そんぞく,"duration, continuance",JLPT_1 JLPT,1
ダース,ダース,dozen,JLPT_1 JLPT,1
対応,たいおう,dealing with,JLPT_1 JLPT,1
大家,たいか,"rich family, distinguished family",JLPT_1 JLPT,1
退化,たいか,"degeneration, retrogression",JLPT_1 JLPT,1
大概,たいがい,"in general, mainly",JLPT_1 JLPT,1
体格,たいかく,"physique, constitution",JLPT_1 JLPT,1
大金,たいきん,large amount of money,JLPT_1 JLPT,1
待遇,たいぐう,"treatment, reception",JLPT_1 JLPT,1
対決,たいけつ,"confrontation, showdown",JLPT_1 JLPT,1
体験,たいけん,personal experience,JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,1
対抗,たいこう,"opposition, antagonism",JLPT_1 JLPT,1
退治,たいじ,extermination,JLPT_1 JLPT,1
大衆,たいしゅう,general public,JLPT_1 JLPT,1
対処,たいしょ,"deal with, cope",JLPT_1 JLPT,1
退職,たいしょく,retirement (from office),JLPT_1 JLPT,1
題する,だいする,to title,JLPT_1 JLPT,1
態勢,たいせい,"attitude, conditions, tendency",JLPT_1 JLPT,1
対談,たいだん,"talk, dialogue",JLPT_1 JLPT,1
大胆,だいたん,"bold, daring, audacious",JLPT_1 JLPT,1
対等,たいとう,equivalent,JLPT_1 JLPT,1
台無し,だいなし,"mess, spoiled, (come to) nothing",JLPT_1 JLPT,1
滞納,たいのう,"non-payment, default",JLPT_1 JLPT,1
対比,たいひ,"contrast, comparison",JLPT_1 JLPT,1
タイピスト,タイピスト,typist,JLPT_1 JLPT,1
大部,たいぶ,"most (e.g., most part, greater, fairly, a good deal, much)",JLPT_1 JLPT,1
大便,だいべん,feces,JLPT_1 JLPT,1
代弁,だいべん,speak for another,JLPT_1 JLPT,1
待望,たいぼう,"long-expected, waiting",JLPT_1 JLPT,1
台本,だいほん,"libretto, scenario",JLPT_1 JLPT,1
タイマー,タイマー,timer,JLPT_1 JLPT,1
怠慢,たいまん,"negligence, carelessness",JLPT_1 JLPT,1
タイミング,タイミング,timing,JLPT_1 JLPT,1
タイム,タイム,time,JLPT_1 JLPT,1
タイムリー,タイムリー,"timely, run-batted-in (baseball), RBI",JLPT_1 JLPT,1
対面,たいめん,"interview, meeting",JLPT_1 JLPT,1
代用,だいよう,substitution,JLPT_1 JLPT,1
体力,たいりょく,physical strength,JLPT_1 JLPT,1
タイル,タイル,tile,JLPT_1 JLPT,1
対話,たいわ,"conversation, dialogue",JLPT_1 JLPT,1
耐える,たえる,"to endure, to put up with",JLPT_1 JLPT,1
堪える,たえる,"to endure, to put up with",JLPT_1 JLPT,1
絶える,たえる,"to die out, to become extinct",JLPT_1 JLPT,1
断える,たえる,"to cease, to become extinct",JLPT_1 JLPT,1
打開,だかい,"solution, breakthrough",JLPT_1 JLPT,1
焚火,たきび,(open) fire,JLPT_1 JLPT,1
妥協,だきょう,"compromise, giving in",JLPT_1 JLPT,1
たくましい,たくましい,"burly, strong, sturdy",JLPT_1 JLPT,1
巧み,たくみ,"skill, cleverness",JLPT_1 JLPT,1
丈,たけ,"length, height",JLPT_1 JLPT,1
打撃,だげき,"blow, damage; batting (baseball)",JLPT_1 JLPT,1
妥結,だけつ,agreement,JLPT_1 JLPT,1
駄作,ださく,poor work,JLPT_1 JLPT,1
足し算,たしざん,addition,JLPT_1 JLPT,1
多数決,たすうけつ,majority rule,JLPT_1 JLPT,1
助け,たすけ,assistance,JLPT_1 JLPT,1
携わる,たずさわる,"to engage, to involve",JLPT_1 JLPT,1
漂う,ただよう,"to drift about, to float, to hang in air",JLPT_1 JLPT,1
立ち去る,たちさる,"to leave, to depart",JLPT_1 JLPT,1
立ち寄る,たちよる,"to stop by, to drop in for a short visit",JLPT_1 JLPT,1
抱っこ,だっこ,(child's) hug,JLPT_1 JLPT,1
達者,たっしゃ,"skillful, in good health",JLPT_1 JLPT,1
脱出,だっしゅつ,escape,JLPT_1 JLPT,1
脱する,だっする,"to escape from, to get out",JLPT_1 JLPT,1
達成,たっせい,achievement,JLPT_1 JLPT,1
脱退,だったい,"secession, withdrawal",JLPT_1 JLPT,1
だったら,だったら,if it's the case,JLPT_1 JLPT,1
立て替える,たてかえる,"to pay in advance, to pay for another",JLPT_1 JLPT,1
建前,たてまえ,position; stance one takes in public; principle,JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,1
奉る,たてまつる,"to offer, to do respectfully",JLPT_1 JLPT,1
だと,だと,if it's the case,JLPT_1 JLPT,1
他動詞,たどうし,transitive verb (direct object),JLPT_1 JLPT,1
辿り着く,たどりつく,"to reach, to make it somehow",JLPT_1 JLPT,1
辿る,たどる,"to follow (road, to pursue (course), to follow up",JLPT_1 JLPT,1
束ねる,たばねる,"to tie up in a bundle, to control",JLPT_1 JLPT,1
だぶだぶ,だぶだぶ,"loose, baggy",JLPT_1 JLPT,1
他方,たほう,"another side, on the other hand",JLPT_1 JLPT,1
多忙,たぼう,busy,JLPT_1 JLPT,1
給う,たまう,"to receive, to grant",JLPT_1 JLPT,1
魂,たましい,"soul, spirit",JLPT_1 JLPT,1
溜まり,たまり,"collected things, gathering place, arrears",JLPT_1 JLPT,1
賜る,たまわる,"to grant, to bestow",JLPT_1 JLPT,1
保つ,たもつ,"to keep, to preserve, to sustain",JLPT_1 JLPT,1
たやすい,たやすい,"easy, simple, light",JLPT_1 JLPT,1
多様,たよう,"diversity, variety",JLPT_1 JLPT,1
だるい,だるい,"sluggish, feel heavy (tired), languid",JLPT_1 JLPT Intermediate_Japanese_Ln.12 Intermediate_Japanese,1
弛み,たるみ,"slack, slackening",JLPT_1 JLPT,1
弛む,たるむ,"to slacken, to loosen, to relax",JLPT_1 JLPT,1
垂れる,たれる,"to hang, to droop; to drip",JLPT_1 JLPT,1
タレント,タレント,"talent, star, personality",JLPT_1 JLPT,1
タワー,タワー,tower,JLPT_1 JLPT,1
単一,たんいつ,"single, simple, sole",JLPT_1 JLPT,1
短歌,たんか,31-syllable Japanese poem,JLPT_1 JLPT,1
